Tytuł,Cena,Lokalizacja,Data,Link
(Brak tytułu),999 zł,"Poznań, Jeżyce - Odświeżono dnia 26 lipca 2025",2025-07-27 16:48:30,https://www.olx.pl/d/oferta/jak-nowy-iphone-12-128gb-2-lata-gwarancji-rozne-kolory-CID99-IDIMP6Q.html
(Brak tytułu),999 zł,Kielce - Odświeżono dnia 17 lipca 2025,2025-07-27 16:48:30,https://www.olx.pl/d/oferta/iphone-11-64-gb-kolory-bateria-100-1-rok-gwarancji-raty-0-CID99-IDZVaYz.html
(Brak tytułu),640 złdo negocjacji,Rokietnica - 24 lipca 2025,2025-07-27 16:50:00,https://www.olx.pl/d/oferta/iphone-11-64-gb-stan-idealny-CID99-ID16Krne.html
(Brak tytułu),950 zł,"Warszawa, Praga-Południe - 23 lipca 2025",2025-07-27 16:50:30,https://www.olx.pl/d/oferta/iphone-11-64gb-yellow-ladny-i-zadbany-bateria-100-CID99-ID16Jv66.html
(Brak tytułu),600 zł,Ząbki - 10 lipca 2025,2025-07-27 16:50:30,https://www.olx.pl/d/oferta/apple-iphone-11-128gb-czerwony-CID99-ID16yodO.html
(Brak tytułu),1 090 zł,"Warszawa, Praga-Południe - Odświeżono dnia 24 lipca 2025",2025-07-27 16:51:01,https://www.olx.pl/d/oferta/iphone-12-128gb-purple-idealny-bateria-100-CID99-ID16ddgM.html
(Brak tytułu),1 150 zł,"Warszawa, Praga-Południe - 25 lipca 2025",2025-07-27 16:51:01,https://www.olx.pl/d/oferta/iphone-12-mini-256gb-blue-bateria-100-CID99-ID16LnIr.html
(Brak tytułu),1 099 zł,Zgorzała - Dzisiaj o 14:44,2025-07-27 16:51:26,https://www.olx.pl/d/oferta/iphone-13-mini-128gb-stan-idealny-CID99-ID16oNhO.html
(Brak tytułu),1 050 złdo negocjacji,Lublin - 17 lipca 2025,2025-07-27 16:52:26,https://www.olx.pl/d/oferta/iphone-14-128-gb-CID99-ID16FdGp.html
(Brak tytułu),620 zł,Bielawy - 24 lipca 2025,2025-07-27 16:52:26,https://www.olx.pl/d/oferta/iphone-13-stan-prawie-idealny-CID99-ID16KQOF.html
(Brak tytułu),1 100 zł,Toruń - 25 lipca 2025,2025-07-27 16:52:26,https://www.olx.pl/d/oferta/iphone-13-niebieski-CID99-ID16LhU1.html
(Brak tytułu),1 199 złdo negocjacji,Starowa Góra - 22 lipca 2025,2025-07-27 16:52:26,https://www.olx.pl/d/oferta/iphone-13-256-gb-CID99-ID16J7Aj.html
(Brak tytułu),650 zł,Radom - Dzisiaj o 14:46,2025-07-27 16:53:26,https://www.olx.pl/d/oferta/iphone-11-pro-64gb-CID99-ID16MCSQ.html
(Brak tytułu),1 200 zł,Trzyciąż - Dzisiaj o 14:46,2025-07-27 16:53:26,https://www.olx.pl/d/oferta/iphone-13-pro-max-CID99-ID16MCSL.html
(Brak tytułu),1 200 zł,Toruń - 23 lipca 2025,2025-07-27 16:53:26,https://www.olx.pl/d/oferta/na-sprzedaz-iphone-13-128gb-CID99-ID16JB7g.html
(Brak tytułu),799 zł,Krzyszkowice - 24 lipca 2025,2025-07-27 16:53:26,https://www.olx.pl/d/oferta/iphone-12-idealny-stan-87-gratisy-CID99-ID16Km4U.html
(Brak tytułu),880 zł,"Warszawa, Praga-Południe - Odświeżono dnia 26 lipca 2025",2025-07-27 16:54:26,https://www.olx.pl/d/oferta/iphone-11-pro-64gb-grafit-bateria-100-CID99-ID16kxTV.html
(Brak tytułu),1 090 zł,"Warszawa, Praga-Południe - Odświeżono dnia 24 lipca 2025",2025-07-27 16:54:26,https://www.olx.pl/d/oferta/iphone-12-128gb-blue-stan-idealny-bateria-100-CID99-ID16ddzu.html
(Brak tytułu),1 180 zł,"Warszawa, Praga-Południe - Odświeżono dnia 22 lipca 2025",2025-07-27 16:54:26,https://www.olx.pl/d/oferta/iphone-11-pro-256gb-midnight-green-bateria-100-CID99-ID15Lb8m.html
(Brak tytułu),999 zł,"Warszawa, Praga-Południe - Odświeżono dnia 24 lipca 2025",2025-07-27 16:54:26,https://www.olx.pl/d/oferta/iphone-11-128gb-green-idealny-bateria-100-CID99-ID16ddSM.html
(Brak tytułu),800 złdo negocjacji,Radom - 25 lipca 2025,2025-07-27 16:54:26,https://www.olx.pl/d/oferta/iphone-12-bialy-bateria-100-CID99-ID16LCCD.html
(Brak tytułu),650 złdo negocjacji,Opole - 20 lipca 2025,2025-07-27 16:54:58,https://www.olx.pl/d/oferta/sprzedam-iphone-11-64-gb-CID99-ID16H4Xh.html
(Brak tytułu),950 zł,Gniazdów - 20 lipca 2025,2025-07-27 16:55:26,https://www.olx.pl/d/oferta/iphone-12-pro-80-swietny-stan-CID99-ID16HdJW.html
